Descricao;Ano;Semana;Casos
ARAGUAPAZ;2015;10;0.0
ARAGUAPAZ;2015;11;3.0
ARAGUAPAZ;2015;12;1.0
ARAGUAPAZ;2015;13;4.0
ARAGUAPAZ;2015;14;3.0
ARAGUAPAZ;2015;15;7.0
ARAGUAPAZ;2015;16;8.0
ARAGUAPAZ;2015;17;5.0
ARAGUAPAZ;2015;18;1.0
ARAGUAPAZ;2015;19;1.0
ARAGUAPAZ;2015;20;1.0
ARAGUAPAZ;2015;21;2.0
ARAGUAPAZ;2015;22;1.0
ARAGUAPAZ;2015;23;0.0
ARAGUAPAZ;2015;24;0.0
ARAGUAPAZ;2015;25;1.0
ARAGUAPAZ;2015;26;1.0
ARAGUAPAZ;2015;27;0.0
ARAGUAPAZ;2015;28;0.0
ARAGUAPAZ;2015;29;0.0
ARAGUAPAZ;2015;30;0.0
ARAGUAPAZ;2015;31;0.0
ARAGUAPAZ;2015;32;0.0
ARAGUAPAZ;2015;33;0.0
ARAGUAPAZ;2015;34;0.0
ARAGUAPAZ;2015;35;0.0
ARAGUAPAZ;2015;36;0.0
ARAGUAPAZ;2015;37;0.0
ARAGUAPAZ;2015;38;0.0
ARAGUAPAZ;2015;39;0.0
ARAGUAPAZ;2015;40;0.0
ARAGUAPAZ;2015;41;0.0
ARAGUAPAZ;2015;42;0.0
ARAGUAPAZ;2015;43;0.0
ARAGUAPAZ;2015;44;0.0
ARAGUAPAZ;2015;45;0.0
ARAGUAPAZ;2015;46;0.0
ARAGUAPAZ;2015;47;0.0
ARAGUAPAZ;2015;48;1.0
ARAGUAPAZ;2015;49;0.0
ARAGUAPAZ;2015;50;0.0
ARAGUAPAZ;2015;51;0.0
ARAGUAPAZ;2015;52;0.0
ARAGUAPAZ;2016;1;0.0
ARAGUAPAZ;2016;2;0.0
ARAGUAPAZ;2016;3;0.0
ARAGUAPAZ;2016;4;3.0
ARAGUAPAZ;2016;5;13.0
ARAGUAPAZ;2016;6;10.0
ARAGUAPAZ;2016;7;7.0
ARAGUAPAZ;2016;8;10.0
ARAGUAPAZ;2016;9;15.0
ARAGUAPAZ;2016;10;11.0
ARAGUAPAZ;2016;11;2.0
ARAGUAPAZ;2016;12;5.0
ARAGUAPAZ;2016;13;4.0
ARAGUAPAZ;2016;14;7.0
ARAGUAPAZ;2016;15;4.0
ARAGUAPAZ;2016;16;4.0
ARAGUAPAZ;2016;17;3.0
ARAGUAPAZ;2016;18;1.0
ARAGUAPAZ;2016;19;1.0
ARAGUAPAZ;2016;20;0.0
ARAGUAPAZ;2016;21;1.0
ARAGUAPAZ;2016;22;1.0
ARAGUAPAZ;2016;23;1.0
ARAGUAPAZ;2016;24;1.0
ARAGUAPAZ;2016;25;0.0
ARAGUAPAZ;2016;26;0.0
ARAGUAPAZ;2016;27;0.0
ARAGUAPAZ;2016;28;0.0
ARAGUAPAZ;2016;29;0.0
ARAGUAPAZ;2016;30;0.0
ARAGUAPAZ;2016;31;0.0
ARAGUAPAZ;2016;32;0.0
ARAGUAPAZ;2016;33;0.0
ARAGUAPAZ;2016;34;0.0
ARAGUAPAZ;2016;35;0.0
ARAGUAPAZ;2016;36;0.0
ARAGUAPAZ;2016;37;0.0
ARAGUAPAZ;2016;38;0.0
ARAGUAPAZ;2016;39;0.0
ARAGUAPAZ;2016;40;0.0
ARAGUAPAZ;2016;41;0.0
ARAGUAPAZ;2016;42;0.0
ARAGUAPAZ;2016;43;0.0
ARAGUAPAZ;2016;44;0.0
ARAGUAPAZ;2016;45;0.0
ARAGUAPAZ;2016;46;0.0
ARAGUAPAZ;2016;47;0.0
ARAGUAPAZ;2016;48;0.0
ARAGUAPAZ;2016;49;0.0
ARAGUAPAZ;2016;50;0.0
ARAGUAPAZ;2016;51;0.0
ARAGUAPAZ;2016;52;0.0
ARAGUAPAZ;2017;1;3.0
ARAGUAPAZ;2017;2;1.0
ARAGUAPAZ;2017;3;0.0
ARAGUAPAZ;2017;4;4.0
ARAGUAPAZ;2017;5;1.0
ARAGUAPAZ;2017;6;0.0
ARAGUAPAZ;2017;7;0.0
ARAGUAPAZ;2017;8;2.0
ARAGUAPAZ;2017;9;1.0
ARAGUAPAZ;2017;10;0.0
ARAGUAPAZ;2017;11;0.0
ARAGUAPAZ;2017;12;0.0
ARAGUAPAZ;2017;13;1.0
ARAGUAPAZ;2017;14;4.0
ARAGUAPAZ;2017;15;3.0
ARAGUAPAZ;2017;16;4.0
ARAGUAPAZ;2017;17;2.0
ARAGUAPAZ;2017;18;1.0
ARAGUAPAZ;2017;19;0.0
ARAGUAPAZ;2017;20;0.0
ARAGUAPAZ;2017;21;3.0
ARAGUAPAZ;2017;22;3.0
ARAGUAPAZ;2017;23;2.0
ARAGUAPAZ;2017;24;0.0
ARAGUAPAZ;2017;25;5.0
ARAGUAPAZ;2017;26;4.0
ARAGUAPAZ;2017;27;1.0
ARAGUAPAZ;2017;28;0.0
ARAGUAPAZ;2017;29;0.0
ARAGUAPAZ;2017;30;0.0
ARAGUAPAZ;2017;31;2.0
ARAGUAPAZ;2017;32;0.0
ARAGUAPAZ;2017;33;1.0
ARAGUAPAZ;2017;34;1.0
ARAGUAPAZ;2017;35;2.0
ARAGUAPAZ;2017;36;0.0
ARAGUAPAZ;2017;37;0.0
ARAGUAPAZ;2017;38;0.0
ARAGUAPAZ;2017;39;0.0
ARAGUAPAZ;2017;40;0.0
ARAGUAPAZ;2017;41;0.0
ARAGUAPAZ;2017;42;0.0
ARAGUAPAZ;2017;43;0.0
ARAGUAPAZ;2017;44;0.0
ARAGUAPAZ;2017;45;0.0
ARAGUAPAZ;2017;46;0.0
ARAGUAPAZ;2017;47;1.0
ARAGUAPAZ;2017;48;0.0
ARAGUAPAZ;2017;49;2.0
ARAGUAPAZ;2017;50;3.0
ARAGUAPAZ;2017;51;2.0
ARAGUAPAZ;2017;52;1.0
ARAGUAPAZ;2018;1;5.0
ARAGUAPAZ;2018;2;9.0
ARAGUAPAZ;2018;3;9.0
ARAGUAPAZ;2018;4;14.0
ARAGUAPAZ;2018;5;15.0
ARAGUAPAZ;2018;6;4.0
ARAGUAPAZ;2018;7;9.0
ARAGUAPAZ;2018;8;10.0
ARAGUAPAZ;2018;9;8.0
ARAGUAPAZ;2018;10;10.0
ARAGUAPAZ;2018;11;6.0
ARAGUAPAZ;2018;12;9.0
ARAGUAPAZ;2018;13;9.0
ARAGUAPAZ;2018;14;10.0
ARAGUAPAZ;2018;15;5.0
ARAGUAPAZ;2018;16;3.0
ARAGUAPAZ;2018;17;7.0
ARAGUAPAZ;2018;18;3.0
ARAGUAPAZ;2018;19;1.0
ARAGUAPAZ;2018;20;1.0
ARAGUAPAZ;2018;21;1.0
ARAGUAPAZ;2018;22;1.0
ARAGUAPAZ;2018;23;0.0
ARAGUAPAZ;2018;24;0.0
ARAGUAPAZ;2018;25;0.0
ARAGUAPAZ;2018;26;1.0
ARAGUAPAZ;2018;27;0.0
ARAGUAPAZ;2018;28;0.0
ARAGUAPAZ;2018;29;0.0
ARAGUAPAZ;2018;30;0.0
ARAGUAPAZ;2018;31;0.0
ARAGUAPAZ;2018;32;0.0
ARAGUAPAZ;2018;33;0.0
ARAGUAPAZ;2018;34;0.0
ARAGUAPAZ;2018;35;0.0
ARAGUAPAZ;2018;36;0.0
ARAGUAPAZ;2018;37;1.0
ARAGUAPAZ;2018;38;0.0
ARAGUAPAZ;2018;39;0.0
ARAGUAPAZ;2018;40;0.0
ARAGUAPAZ;2018;41;0.0
ARAGUAPAZ;2018;42;0.0
ARAGUAPAZ;2018;43;0.0
ARAGUAPAZ;2018;44;0.0
ARAGUAPAZ;2018;45;0.0
ARAGUAPAZ;2018;46;1.0
ARAGUAPAZ;2018;47;0.0
ARAGUAPAZ;2018;48;4.0
ARAGUAPAZ;2018;49;1.0
ARAGUAPAZ;2018;50;1.0
ARAGUAPAZ;2018;51;0.0
ARAGUAPAZ;2018;52;0.0
ARAGUAPAZ;2019;1;0.0
ARAGUAPAZ;2019;2;0.0
ARAGUAPAZ;2019;3;0.0
ARAGUAPAZ;2019;4;0.0
ARAGUAPAZ;2019;5;1.0
ARAGUAPAZ;2019;6;0.0
ARAGUAPAZ;2019;7;2.0
ARAGUAPAZ;2019;8;1.0
ARAGUAPAZ;2019;9;0.0
ARAGUAPAZ;2019;10;0.0
ARAGUAPAZ;2019;11;2.0
ARAGUAPAZ;2019;12;4.0
ARAGUAPAZ;2019;13;3.0
ARAGUAPAZ;2019;14;0.0
ARAGUAPAZ;2019;15;1.0
ARAGUAPAZ;2019;16;10.0
ARAGUAPAZ;2019;17;4.0
ARAGUAPAZ;2019;18;7.0
ARAGUAPAZ;2019;19;3.0
ARAGUAPAZ;2019;20;5.0
ARAGUAPAZ;2019;21;4.0
ARAGUAPAZ;2019;22;5.0
ARAGUAPAZ;2019;23;0.0
ARAGUAPAZ;2019;24;1.0
ARAGUAPAZ;2019;25;0.0
ARAGUAPAZ;2019;26;0.0
ARAGUAPAZ;2019;27;1.0
ARAGUAPAZ;2019;28;0.0
ARAGUAPAZ;2019;29;0.0
ARAGUAPAZ;2019;30;0.0
ARAGUAPAZ;2019;31;0.0
ARAGUAPAZ;2019;32;0.0
ARAGUAPAZ;2019;33;0.0
ARAGUAPAZ;2019;34;0.0
ARAGUAPAZ;2019;35;0.0
ARAGUAPAZ;2019;36;0.0
ARAGUAPAZ;2019;37;0.0
ARAGUAPAZ;2019;38;0.0
ARAGUAPAZ;2019;39;0.0
ARAGUAPAZ;2019;40;0.0
ARAGUAPAZ;2019;41;0.0
ARAGUAPAZ;2019;42;1.0
ARAGUAPAZ;2019;43;0.0
ARAGUAPAZ;2019;44;0.0
ARAGUAPAZ;2019;45;0.0
ARAGUAPAZ;2019;46;0.0
ARAGUAPAZ;2019;47;0.0
ARAGUAPAZ;2019;48;0.0
ARAGUAPAZ;2019;49;0.0
ARAGUAPAZ;2019;50;0.0
ARAGUAPAZ;2019;51;0.0
ARAGUAPAZ;2019;52;0.0
ARAGUAPAZ;2020;1;0.0
ARAGUAPAZ;2020;2;2.0
ARAGUAPAZ;2020;3;1.0
ARAGUAPAZ;2020;4;0.0
ARAGUAPAZ;2020;5;0.0
ARAGUAPAZ;2020;6;2.0
ARAGUAPAZ;2020;7;3.0
ARAGUAPAZ;2020;8;5.0
ARAGUAPAZ;2020;9;2.0
ARAGUAPAZ;2020;10;3.0
ARAGUAPAZ;2020;11;3.0
ARAGUAPAZ;2020;12;1.0
ARAGUAPAZ;2020;13;0.0
ARAGUAPAZ;2020;14;5.0
ARAGUAPAZ;2020;15;1.0
ARAGUAPAZ;2020;16;1.0
ARAGUAPAZ;2020;17;0.0
ARAGUAPAZ;2020;18;0.0
ARAGUAPAZ;2020;19;0.0
ARAGUAPAZ;2020;20;0.0
ARAGUAPAZ;2020;21;0.0
ARAGUAPAZ;2020;22;0.0
ARAGUAPAZ;2020;23;0.0
ARAGUAPAZ;2020;24;0.0
ARAGUAPAZ;2020;25;0.0
ARAGUAPAZ;2020;26;0.0
ARAGUAPAZ;2020;27;0.0
ARAGUAPAZ;2020;28;0.0
ARAGUAPAZ;2020;29;0.0
ARAGUAPAZ;2020;30;0.0
ARAGUAPAZ;2020;31;0.0
ARAGUAPAZ;2020;32;0.0
ARAGUAPAZ;2020;33;0.0
ARAGUAPAZ;2020;34;0.0
ARAGUAPAZ;2020;35;1.0
ARAGUAPAZ;2020;36;2.0
ARAGUAPAZ;2020;37;0.0
ARAGUAPAZ;2020;38;2.0
ARAGUAPAZ;2020;39;2.0
ARAGUAPAZ;2020;40;0.0
ARAGUAPAZ;2020;41;1.0
ARAGUAPAZ;2020;42;0.0
ARAGUAPAZ;2020;43;0.0
ARENOPOLIS;2010;1;1.0
ARENOPOLIS;2010;2;2.0
ARENOPOLIS;2010;3;0.0
ARENOPOLIS;2010;4;0.0
ARENOPOLIS;2010;5;0.0
ARENOPOLIS;2010;6;1.0
ARENOPOLIS;2010;7;0.0
ARENOPOLIS;2010;8;0.0
ARENOPOLIS;2010;9;0.0
ARENOPOLIS;2010;10;0.0
ARENOPOLIS;2010;11;0.0
ARENOPOLIS;2010;12;0.0
ARENOPOLIS;2010;13;0.0
ARENOPOLIS;2010;14;0.0
ARENOPOLIS;2010;15;0.0
ARENOPOLIS;2010;16;0.0
ARENOPOLIS;2010;17;0.0
ARENOPOLIS;2010;18;0.0
ARENOPOLIS;2010;19;0.0
ARENOPOLIS;2010;20;0.0
ARENOPOLIS;2010;21;0.0
ARENOPOLIS;2010;22;0.0
ARENOPOLIS;2010;23;0.0
ARENOPOLIS;2010;24;0.0
ARENOPOLIS;2010;25;0.0
ARENOPOLIS;2010;26;0.0
ARENOPOLIS;2010;27;0.0
ARENOPOLIS;2010;28;0.0
ARENOPOLIS;2010;29;0.0
ARENOPOLIS;2010;30;0.0
ARENOPOLIS;2010;31;0.0
ARENOPOLIS;2010;32;0.0
ARENOPOLIS;2010;33;0.0
ARENOPOLIS;2010;34;0.0
ARENOPOLIS;2010;35;0.0
ARENOPOLIS;2010;36;0.0
ARENOPOLIS;2010;37;0.0
ARENOPOLIS;2010;38;0.0
ARENOPOLIS;2010;39;0.0
ARENOPOLIS;2010;40;0.0
ARENOPOLIS;2010;41;2.0
ARENOPOLIS;2010;42;0.0
ARENOPOLIS;2010;43;0.0
ARENOPOLIS;2010;44;0.0
ARENOPOLIS;2010;45;0.0
ARENOPOLIS;2010;46;0.0
ARENOPOLIS;2010;47;0.0
ARENOPOLIS;2010;48;0.0
ARENOPOLIS;2010;49;0.0
ARENOPOLIS;2010;50;0.0
ARENOPOLIS;2010;51;0.0
ARENOPOLIS;2010;52;0.0
ARENOPOLIS;2011;1;1.0
ARENOPOLIS;2011;2;0.0
ARENOPOLIS;2011;3;1.0
ARENOPOLIS;2011;4;0.0
ARENOPOLIS;2011;5;2.0
ARENOPOLIS;2011;6;0.0
ARENOPOLIS;2011;7;0.0
ARENOPOLIS;2011;8;0.0
ARENOPOLIS;2011;9;0.0
ARENOPOLIS;2011;10;0.0
ARENOPOLIS;2011;11;0.0
ARENOPOLIS;2011;12;0.0
ARENOPOLIS;2011;13;0.0
ARENOPOLIS;2011;14;0.0
ARENOPOLIS;2011;15;0.0
ARENOPOLIS;2011;16;0.0
ARENOPOLIS;2011;17;0.0
ARENOPOLIS;2011;18;0.0
ARENOPOLIS;2011;19;0.0
ARENOPOLIS;2011;20;0.0
ARENOPOLIS;2011;21;0.0
ARENOPOLIS;2011;22;0.0
ARENOPOLIS;2011;23;0.0
ARENOPOLIS;2011;24;0.0
ARENOPOLIS;2011;25;0.0
ARENOPOLIS;2011;26;0.0
ARENOPOLIS;2011;27;0.0
ARENOPOLIS;2011;28;0.0
ARENOPOLIS;2011;29;0.0
ARENOPOLIS;2011;30;0.0
ARENOPOLIS;2011;31;0.0
ARENOPOLIS;2011;32;0.0
ARENOPOLIS;2011;33;0.0
ARENOPOLIS;2011;34;0.0
ARENOPOLIS;2011;35;0.0
ARENOPOLIS;2011;36;0.0
ARENOPOLIS;2011;37;0.0
ARENOPOLIS;2011;38;0.0
ARENOPOLIS;2011;39;0.0
ARENOPOLIS;2011;40;0.0
ARENOPOLIS;2011;41;0.0
ARENOPOLIS;2011;42;0.0
ARENOPOLIS;2011;43;0.0
ARENOPOLIS;2011;44;0.0
ARENOPOLIS;2011;45;0.0
ARENOPOLIS;2011;46;0.0
ARENOPOLIS;2011;47;0.0
ARENOPOLIS;2011;48;0.0
ARENOPOLIS;2011;49;0.0
ARENOPOLIS;2011;50;0.0
ARENOPOLIS;2011;51;0.0
ARENOPOLIS;2011;52;0.0
ARENOPOLIS;2012;1;0.0
ARENOPOLIS;2012;2;0.0
ARENOPOLIS;2012;3;0.0
ARENOPOLIS;2012;4;0.0
ARENOPOLIS;2012;5;3.0
ARENOPOLIS;2012;6;0.0
ARENOPOLIS;2012;7;0.0
ARENOPOLIS;2012;8;0.0
ARENOPOLIS;2012;9;0.0
ARENOPOLIS;2012;10;0.0
ARENOPOLIS;2012;11;0.0
ARENOPOLIS;2012;12;0.0
ARENOPOLIS;2012;13;0.0
ARENOPOLIS;2012;14;0.0
ARENOPOLIS;2012;15;0.0
ARENOPOLIS;2012;16;0.0
ARENOPOLIS;2012;17;0.0
ARENOPOLIS;2012;18;0.0
ARENOPOLIS;2012;19;0.0
ARENOPOLIS;2012;20;0.0
ARENOPOLIS;2012;21;0.0
ARENOPOLIS;2012;22;0.0
ARENOPOLIS;2012;23;0.0
ARENOPOLIS;2012;24;0.0
ARENOPOLIS;2012;25;0.0
ARENOPOLIS;2012;26;0.0
ARENOPOLIS;2012;27;0.0
ARENOPOLIS;2012;28;0.0
ARENOPOLIS;2012;29;0.0
ARENOPOLIS;2012;30;0.0
ARENOPOLIS;2012;31;0.0
ARENOPOLIS;2012;32;0.0
ARENOPOLIS;2012;33;0.0
ARENOPOLIS;2012;34;0.0
ARENOPOLIS;2012;35;0.0
ARENOPOLIS;2012;36;0.0
ARENOPOLIS;2012;37;0.0
ARENOPOLIS;2012;38;0.0
ARENOPOLIS;2012;39;0.0
ARENOPOLIS;2012;40;0.0
ARENOPOLIS;2012;41;0.0
ARENOPOLIS;2012;42;0.0
ARENOPOLIS;2012;43;0.0
ARENOPOLIS;2012;44;0.0
ARENOPOLIS;2012;45;0.0
ARENOPOLIS;2012;46;0.0
ARENOPOLIS;2012;47;0.0
ARENOPOLIS;2012;48;0.0
ARENOPOLIS;2012;49;0.0
ARENOPOLIS;2012;50;1.0
ARENOPOLIS;2012;51;0.0
ARENOPOLIS;2012;52;0.0
ARENOPOLIS;2013;1;4.0
ARENOPOLIS;2013;2;9.0
ARENOPOLIS;2013;3;5.0
ARENOPOLIS;2013;4;8.0
ARENOPOLIS;2013;5;6.0
ARENOPOLIS;2013;6;0.0
ARENOPOLIS;2013;7;5.0
ARENOPOLIS;2013;8;2.0
ARENOPOLIS;2013;9;2.0
ARENOPOLIS;2013;10;1.0
ARENOPOLIS;2013;11;0.0
ARENOPOLIS;2013;12;0.0
ARENOPOLIS;2013;13;0.0
ARENOPOLIS;2013;14;0.0
ARENOPOLIS;2013;15;0.0
ARENOPOLIS;2013;16;0.0
ARENOPOLIS;2013;17;0.0
ARENOPOLIS;2013;18;0.0
ARENOPOLIS;2013;19;0.0
ARENOPOLIS;2013;20;0.0
ARENOPOLIS;2013;21;0.0
ARENOPOLIS;2013;22;0.0
ARENOPOLIS;2013;23;0.0
ARENOPOLIS;2013;24;0.0
ARENOPOLIS;2013;25;0.0
ARENOPOLIS;2013;26;0.0
ARENOPOLIS;2013;27;0.0
ARENOPOLIS;2013;28;0.0
ARENOPOLIS;2013;29;0.0
ARENOPOLIS;2013;30;0.0
ARENOPOLIS;2013;31;0.0
ARENOPOLIS;2013;32;0.0
ARENOPOLIS;2013;33;0.0
ARENOPOLIS;2013;34;0.0
ARENOPOLIS;2013;35;0.0
ARENOPOLIS;2013;36;0.0
ARENOPOLIS;2013;37;0.0
ARENOPOLIS;2013;38;0.0
ARENOPOLIS;2013;39;0.0
ARENOPOLIS;2013;40;0.0
ARENOPOLIS;2013;41;0.0
ARENOPOLIS;2013;42;0.0
ARENOPOLIS;2013;43;0.0
ARENOPOLIS;2013;44;0.0
ARENOPOLIS;2013;45;0.0
ARENOPOLIS;2013;46;0.0
ARENOPOLIS;2013;47;0.0
ARENOPOLIS;2013;48;0.0
ARENOPOLIS;2013;49;0.0
ARENOPOLIS;2013;50;0.0
ARENOPOLIS;2013;51;0.0
ARENOPOLIS;2013;52;0.0
ARENOPOLIS;2014;1;3.0
ARENOPOLIS;2014;2;4.0
ARENOPOLIS;2014;3;0.0
ARENOPOLIS;2014;4;2.0
ARENOPOLIS;2014;5;0.0
ARENOPOLIS;2014;6;2.0
ARENOPOLIS;2014;7;2.0
ARENOPOLIS;2014;8;0.0
ARENOPOLIS;2014;9;0.0
ARENOPOLIS;2014;10;1.0
ARENOPOLIS;2014;11;4.0
ARENOPOLIS;2014;12;3.0
ARENOPOLIS;2014;13;0.0
ARENOPOLIS;2014;14;0.0
ARENOPOLIS;2014;15;0.0
ARENOPOLIS;2014;16;0.0
ARENOPOLIS;2014;17;0.0
ARENOPOLIS;2014;18;0.0
ARENOPOLIS;2014;19;0.0
ARENOPOLIS;2014;20;0.0
ARENOPOLIS;2014;21;0.0
ARENOPOLIS;2014;22;0.0
ARENOPOLIS;2014;23;0.0
ARENOPOLIS;2014;24;0.0
ARENOPOLIS;2014;25;0.0
ARENOPOLIS;2014;26;0.0
ARENOPOLIS;2014;27;0.0
ARENOPOLIS;2014;28;0.0
ARENOPOLIS;2014;29;0.0
ARENOPOLIS;2014;30;0.0
ARENOPOLIS;2014;31;0.0
ARENOPOLIS;2014;32;0.0
ARENOPOLIS;2014;33;0.0
ARENOPOLIS;2014;34;0.0
ARENOPOLIS;2014;35;0.0
ARENOPOLIS;2014;36;0.0
ARENOPOLIS;2014;37;0.0
ARENOPOLIS;2014;38;0.0
ARENOPOLIS;2014;39;0.0
ARENOPOLIS;2014;40;0.0
ARENOPOLIS;2014;41;0.0
ARENOPOLIS;2014;42;0.0
ARENOPOLIS;2014;43;0.0
ARENOPOLIS;2014;44;0.0
ARENOPOLIS;2014;45;0.0
ARENOPOLIS;2014;46;0.0
ARENOPOLIS;2014;47;0.0
ARENOPOLIS;2014;48;0.0
ARENOPOLIS;2014;49;0.0
ARENOPOLIS;2014;50;0.0
ARENOPOLIS;2014;51;0.0
ARENOPOLIS;2014;52;0.0
ARENOPOLIS;2014;53;0.0
ARENOPOLIS;2015;1;0.0
ARENOPOLIS;2015;2;0.0
ARENOPOLIS;2015;3;1.0
ARENOPOLIS;2015;4;0.0
ARENOPOLIS;2015;5;1.0
ARENOPOLIS;2015;6;0.0
ARENOPOLIS;2015;7;0.0
ARENOPOLIS;2015;8;0.0
ARENOPOLIS;2015;9;1.0
ARENOPOLIS;2015;10;0.0
ARENOPOLIS;2015;11;1.0
ARENOPOLIS;2015;12;0.0
ARENOPOLIS;2015;13;0.0
ARENOPOLIS;2015;14;2.0
ARENOPOLIS;2015;15;6.0
ARENOPOLIS;2015;16;0.0
ARENOPOLIS;2015;17;1.0
ARENOPOLIS;2015;18;0.0
ARENOPOLIS;2015;19;0.0
ARENOPOLIS;2015;20;0.0
ARENOPOLIS;2015;21;0.0
ARENOPOLIS;2015;22;0.0
ARENOPOLIS;2015;23;0.0
ARENOPOLIS;2015;24;0.0
ARENOPOLIS;2015;25;0.0
ARENOPOLIS;2015;26;0.0
ARENOPOLIS;2015;27;0.0
ARENOPOLIS;2015;28;0.0
ARENOPOLIS;2015;29;0.0
ARENOPOLIS;2015;30;0.0
ARENOPOLIS;2015;31;0.0
ARENOPOLIS;2015;32;0.0
ARENOPOLIS;2015;33;0.0
ARENOPOLIS;2015;34;0.0
ARENOPOLIS;2015;35;0.0
ARENOPOLIS;2015;36;0.0
ARENOPOLIS;2015;37;0.0
ARENOPOLIS;2015;38;0.0
ARENOPOLIS;2015;39;0.0
ARENOPOLIS;2015;40;0.0
ARENOPOLIS;2015;41;0.0
ARENOPOLIS;2015;42;0.0
ARENOPOLIS;2015;43;0.0
ARENOPOLIS;2015;44;0.0
ARENOPOLIS;2015;45;0.0
ARENOPOLIS;2015;46;0.0
ARENOPOLIS;2015;47;0.0
ARENOPOLIS;2015;48;1.0
ARENOPOLIS;2015;49;0.0
ARENOPOLIS;2015;50;0.0
ARENOPOLIS;2015;51;0.0
ARENOPOLIS;2015;52;0.0
ARENOPOLIS;2016;1;0.0
ARENOPOLIS;2016;2;1.0
ARENOPOLIS;2016;3;1.0
ARENOPOLIS;2016;4;2.0
ARENOPOLIS;2016;5;0.0
ARENOPOLIS;2016;6;2.0
ARENOPOLIS;2016;7;0.0
ARENOPOLIS;2016;8;0.0
ARENOPOLIS;2016;9;0.0
ARENOPOLIS;2016;10;0.0
ARENOPOLIS;2016;11;6.0
ARENOPOLIS;2016;12;0.0
ARENOPOLIS;2016;13;1.0
ARENOPOLIS;2016;14;0.0
ARENOPOLIS;2016;15;0.0
ARENOPOLIS;2016;16;0.0
ARENOPOLIS;2016;17;1.0
ARENOPOLIS;2016;18;0.0
ARENOPOLIS;2016;19;0.0
ARENOPOLIS;2016;20;2.0
ARENOPOLIS;2016;21;0.0
ARENOPOLIS;2016;22;0.0
ARENOPOLIS;2016;23;0.0
ARENOPOLIS;2016;24;0.0
ARENOPOLIS;2016;25;0.0
ARENOPOLIS;2016;26;0.0
ARENOPOLIS;2016;27;0.0
ARENOPOLIS;2016;28;0.0
ARENOPOLIS;2016;29;0.0
ARENOPOLIS;2016;30;0.0
ARENOPOLIS;2016;31;0.0
ARENOPOLIS;2016;32;0.0
ARENOPOLIS;2016;33;0.0
ARENOPOLIS;2016;34;0.0
ARENOPOLIS;2016;35;0.0
ARENOPOLIS;2016;36;0.0
ARENOPOLIS;2016;37;0.0
ARENOPOLIS;2016;38;0.0
ARENOPOLIS;2016;39;0.0
ARENOPOLIS;2016;40;0.0
ARENOPOLIS;2016;41;1.0
ARENOPOLIS;2016;42;0.0
ARENOPOLIS;2016;43;0.0
ARENOPOLIS;2016;44;0.0
ARENOPOLIS;2016;45;1.0
ARENOPOLIS;2016;46;0.0
ARENOPOLIS;2016;47;0.0
ARENOPOLIS;2016;48;0.0
ARENOPOLIS;2016;49;0.0
ARENOPOLIS;2016;50;0.0
ARENOPOLIS;2016;51;0.0
ARENOPOLIS;2016;52;0.0
ARENOPOLIS;2017;1;0.0
ARENOPOLIS;2017;2;0.0
ARENOPOLIS;2017;3;1.0
ARENOPOLIS;2017;4;0.0
ARENOPOLIS;2017;5;2.0
ARENOPOLIS;2017;6;0.0
ARENOPOLIS;2017;7;0.0
ARENOPOLIS;2017;8;0.0
ARENOPOLIS;2017;9;0.0
ARENOPOLIS;2017;10;0.0
ARENOPOLIS;2017;11;0.0
ARENOPOLIS;2017;12;0.0
ARENOPOLIS;2017;13;0.0
ARENOPOLIS;2017;14;0.0
ARENOPOLIS;2017;15;0.0
ARENOPOLIS;2017;16;0.0
ARENOPOLIS;2017;17;1.0
ARENOPOLIS;2017;18;0.0
ARENOPOLIS;2017;19;0.0
ARENOPOLIS;2017;20;0.0
ARENOPOLIS;2017;21;0.0
ARENOPOLIS;2017;22;0.0
ARENOPOLIS;2017;23;0.0
ARENOPOLIS;2017;24;0.0
ARENOPOLIS;2017;25;0.0
ARENOPOLIS;2017;26;1.0
ARENOPOLIS;2017;27;0.0
ARENOPOLIS;2017;28;0.0
ARENOPOLIS;2017;29;0.0
ARENOPOLIS;2017;30;1.0
ARENOPOLIS;2017;31;2.0
ARENOPOLIS;2017;32;0.0
ARENOPOLIS;2017;33;1.0
ARENOPOLIS;2017;34;4.0
ARENOPOLIS;2017;35;3.0
ARENOPOLIS;2017;36;1.0
ARENOPOLIS;2017;37;0.0
ARENOPOLIS;2017;38;2.0
ARENOPOLIS;2017;39;1.0
ARENOPOLIS;2017;40;1.0
ARENOPOLIS;2017;41;0.0
ARENOPOLIS;2017;42;1.0
ARENOPOLIS;2017;43;0.0
ARENOPOLIS;2017;44;0.0
ARENOPOLIS;2017;45;0.0
ARENOPOLIS;2017;46;0.0
ARENOPOLIS;2017;47;0.0
ARENOPOLIS;2017;48;0.0
ARENOPOLIS;2017;49;0.0
ARENOPOLIS;2017;50;0.0
ARENOPOLIS;2017;51;0.0
ARENOPOLIS;2017;52;0.0
ARENOPOLIS;2018;1;2.0
ARENOPOLIS;2018;2;2.0
ARENOPOLIS;2018;3;3.0
ARENOPOLIS;2018;4;0.0
ARENOPOLIS;2018;5;9.0
ARENOPOLIS;2018;6;0.0
ARENOPOLIS;2018;7;6.0
ARENOPOLIS;2018;8;13.0
ARENOPOLIS;2018;9;14.0
